,force
1927,663.0
1928,663.0
1929,663.0
1930,664.0
1931,663.0
1932,663.0
1933,664.0
1934,663.0
1935,663.0
1936,664.0
1937,663.0
1938,663.0
1939,663.0
1940,663.0
1941,664.0
1942,663.0
1943,663.0
1944,664.0
1945,663.0
1946,663.0
1947,664.0
1948,663.0
1949,663.0
1950,664.0
1951,663.0
1952,663.0
1953,664.0
1954,663.0
1955,663.0
1956,664.0
1957,663.0
1958,663.0
1959,664.0
1960,663.0
1961,663.0
1962,664.0
1963,663.0
1964,664.0
1965,663.0
1966,663.0
1967,664.0
1968,663.0
1969,663.0
1970,664.0
1971,663.0
1972,663.0
1973,664.0
1974,663.0
1975,663.0
1976,663.0
1977,663.0
1978,663.0
1979,664.0
1980,663.0
1981,663.0
1982,663.0
1983,663.0
1984,663.0
1985,663.0
1986,663.0
1987,664.0
1988,663.0
1989,663.0
1990,664.0
1991,663.0
1992,663.0
1993,664.0
1994,663.0
1995,663.0
1996,664.0
1997,663.0
1998,663.0
1999,664.0
2000,662.0
2001,663.0
2002,663.0
2003,663.0
2004,664.0
2005,663.0
2006,663.0
2007,664.0
2008,663.0
2009,663.0
2010,664.0
2011,663.0
2012,663.0
2013,664.0
2014,663.0
2015,663.0
2016,664.0
2017,663.0
2018,663.0
2019,664.0
2020,663.0
2021,663.0
2022,663.0
2023,663.0
2024,663.0
2025,664.0
2026,663.0
2027,663.0
2028,663.0
2029,663.0
2030,663.0
2031,663.0
2032,663.0
2033,663.0
2034,663.0
2035,663.0
2036,664.0
2037,663.0
2038,663.0
2039,664.0
2040,663.0
2041,663.0
2042,663.0
2043,663.0
2044,664.0
2045,664.0
2046,663.0
2047,664.0
2048,663.0
2049,663.0
2050,663.0
2051,663.0
2052,663.0
2053,664.0
2054,663.0
2055,663.0
2056,664.0
2057,663.0
2058,663.0
2059,664.0
2060,663.0
2061,664.0
2062,664.0
2063,663.0
2064,664.0
2065,663.0
2066,663.0
2067,664.0
2068,663.0
2069,663.0
2070,664.0
2071,663.0
2072,663.0
2073,664.0
2074,663.0
2075,663.0
2076,664.0
2077,663.0
2078,663.0
2079,664.0
2080,663.0
2081,663.0
2082,664.0
2083,663.0
2084,663.0
2085,664.0
2086,663.0
2087,664.0
2088,664.0
2089,663.0
2090,664.0
2091,663.0
2092,663.0
2093,664.0
2094,663.0
2095,663.0
2096,664.0
2097,663.0
2098,663.0
2099,664.0
2100,663.0
2101,663.0
2102,664.0
2103,663.0
2104,664.0
2105,663.0
2106,663.0
2107,663.0
2108,663.0
2109,663.0
2110,664.0
2111,663.0
2112,663.0
2113,664.0
2114,663.0
2115,663.0
2116,664.0
2117,663.0
2118,663.0
2119,664.0
2120,663.0
2121,663.0
2122,664.0
2123,663.0
2124,663.0
2125,664.0
2126,663.0
2127,664.0
2128,663.0
2129,663.0
2130,663.0
2131,663.0
2132,663.0
2133,663.0
2134,663.0
2135,663.0
2136,664.0
2137,663.0
2138,663.0
2139,664.0
2140,663.0
