,emg
1502,-49903
1503,-46661
1504,-44409
1505,-43709
1506,-45029
1507,-48000
1508,-51240
1509,-53351
1510,-53661
1511,-52187
1512,-49267
1513,-46148
1514,-44558
1515,-44383
1516,-45346
1517,-47831
1518,-51035
1519,-53303
1520,-53805
1521,-52552
1522,-49887
1523,-46771
1524,-44234
1525,-43426
1526,-44632
1527,-47528
1528,-51031
1529,-53063
1530,-52968
1531,-51866
1532,-49839
1533,-47552
1534,-45284
1535,-44282
1536,-45148
1537,-47574
1538,-50672
1539,-53113
1540,-53816
1541,-52821
1542,-50108
1543,-46554
1544,-44206
1545,-43525
1546,-44566
1547,-47452
1548,-50585
1549,-52872
1550,-53153
1551,-51676
1552,-49079
1553,-46160
1554,-44503
1555,-43699
1556,-44535
1557,-47007
1558,-50421
1559,-53015
1560,-53384
1561,-51949
1562,-49552
1563,-46234
1564,-43892
1565,-43109
1566,-44181
1567,-46842
1568,-50113
1569,-52650
1570,-53237
1571,-52076
1572,-49502
1573,-46383
1574,-44482
1575,-43881
1576,-44861
1577,-47241
1578,-50568
1579,-53041
1580,-53722
1581,-52660
1582,-50341
1583,-46947
1584,-44532
1585,-43767
1586,-44834
1587,-47620
1588,-50787
1589,-53361
1590,-54194
1591,-52916
1592,-50146
1593,-47171
1594,-44691
1595,-43930
1596,-45130
1597,-47764
1598,-50780
1599,-53447
1600,-54102
1601,-52791
1602,-50366
1603,-47141
1604,-44835
1605,-43921
1606,-45525
1607,-48319
1608,-51358
1609,-53911
1610,-54489
1611,-53172
1612,-50374
1613,-47186
1614,-44751
1615,-43881
1616,-45136
1617,-47816
1618,-51132
1619,-53884
1620,-54515
1621,-52986
1622,-49997
1623,-46779
1624,-44731
1625,-44190
1626,-45454
1627,-48173
1628,-51271
1629,-54067
1630,-54432
1631,-53024
1632,-50546
1633,-47454
1634,-45075
1635,-44463
1636,-45519
1637,-47856
1638,-50977
1639,-53395
1640,-54231
1641,-52932
1642,-50447
1643,-47171
1644,-44781
1645,-44113
1646,-45265
1647,-47877
1648,-51367
1649,-53719
1650,-53860
1651,-52366
1652,-49627
1653,-46761
1654,-44534
1655,-43724
1656,-44651
1657,-47584
1658,-51571
1659,-53650
1660,-53873
1661,-52627
1662,-50132
1663,-46938
1664,-44276
1665,-43610
1666,-45061
1667,-48066
1668,-51098
1669,-53114
1670,-53649
1671,-52676
1672,-50247
1673,-46802
1674,-43977
1675,-43539
1676,-44826
1677,-47664
1678,-51316
1679,-53649
1680,-54067
1681,-52620
1682,-49974
1683,-46727
1684,-44489
1685,-44194
1686,-45201
1687,-47664
1688,-50729
1689,-52938
1690,-53400
1691,-52729
1692,-50529
1693,-47186
1694,-44649
1695,-43812
1696,-44973
1697,-47448
1698,-51060
1699,-53411
1700,-53990
1701,-52907
1702,-49686
1703,-46482
1704,-44509
1705,-43912
1706,-44918
1707,-47492
1708,-50787
1709,-52959
1710,-53921
1711,-53045
1712,-49941
1713,-46747
1714,-44825
1715,-43810
1716,-45372
1717,-48215
1718,-50925
1719,-53161
1720,-54189
1721,-53209
1722,-49949
1723,-46662
1724,-45292
1725,-44274
1726,-45181
1727,-48007
1728,-51286
1729,-53431
1730,-54045
1731,-52959
1732,-50504
1733,-47119
1734,-44806
1735,-44447
1736,-45691
1737,-47971
1738,-51134
1739,-53320
1740,-54036
1741,-52987
1742,-50047
1743,-46928
1744,-44851
1745,-44597
1746,-45563
1747,-47913
1748,-51171
1749,-53743
1750,-54541
1751,-53446
1752,-50464
1753,-47211
1754,-45087
1755,-44685
1756,-45640
1757,-48337
1758,-51772
1759,-53975
1760,-54336
1761,-52819
1762,-49916
1763,-47034
1764,-44762
1765,-43956
1766,-45244
1767,-48461
1768,-51886
1769,-54191
1770,-54656
1771,-53261
1772,-50497
1773,-47876
1774,-45390
1775,-44686
1776,-45729
1777,-48371
1778,-51364
1779,-53622
1780,-54626
1781,-53252
1782,-50249
1783,-48102
1784,-45988
1785,-45047
1786,-45769
1787,-48371
1788,-51747
1789,-54251
1790,-54738
1791,-53261
1792,-50690
1793,-47538
1794,-45099
1795,-44431
1796,-45647
1797,-48132
1798,-51464
1799,-53899
1800,-54236
1801,-53112
1802,-50532
1803,-47229
1804,-44766
1805,-44130
1806,-45206
1807,-48242
1808,-51956
1809,-54079
1810,-54134
1811,-53074
1812,-50409
1813,-47554
1814,-45218
1815,-44506
1816,-45524
1817,-48377
1818,-51492
1819,-53763
1820,-54460
1821,-53565
1822,-50969
1823,-47853
1824,-45386
1825,-44616
1826,-45300
1827,-47890
1828,-51688
1829,-54316
1830,-54607
1831,-53212
1832,-50544
1833,-47279
1834,-45022
1835,-44841
1836,-45939
1837,-48327
1838,-51371
1839,-53994
1840,-54563
1841,-53185
1842,-50519
1843,-47369
1844,-45528
1845,-44827
1846,-46045
1847,-48610
1848,-51968
1849,-54234
1850,-54445
1851,-53046
1852,-50402
1853,-47769
1854,-45842
1855,-44935
1856,-45925
1857,-48709
1858,-51636
1859,-54269
1860,-54861
1861,-53623
1862,-51031
1863,-47576
1864,-45305
1865,-44401
1866,-45764
1867,-48493
1868,-51099
1869,-53776
1870,-54891
1871,-54230
1872,-51548
1873,-47943
1874,-45557
1875,-44908
1876,-46021
1877,-48980
1878,-52185
1879,-54377
1880,-55005
1881,-53757
1882,-51069
1883,-47934
1884,-45662
1885,-45141
1886,-46355
1887,-48776
1888,-51957
1889,-54247
1890,-54846
1891,-53389
1892,-50770
1893,-47575
1894,-45481
1895,-44977
1896,-46007
1897,-48715
1898,-52369
1899,-54470
1900,-54881
1901,-53576
1902,-50892
1903,-47711
1904,-45506
1905,-45047
1906,-46137
1907,-48789
1908,-52187
1909,-54359
1910,-54248
1911,-52691
1912,-49927
1913,-46799
1914,-45308
1915,-45048
1916,-46006
1917,-48946
1918,-52577
1919,-54543
1920,-55016
1921,-53701
1922,-50881
1923,-47489
1924,-44864
1925,-44377
1926,-45926
1927,-48287
1928,-51264
1929,-54216
1930,-55231
1931,-53799
1932,-50688
1933,-47654
1934,-45295
1935,-44511
1936,-45775
1937,-48495
1938,-52027
1939,-54073
1940,-54426
1941,-53319
1942,-50672
1943,-47397
1944,-44809
1945,-43887
1946,-45318
1947,-48492
1948,-51654
1949,-53771
1950,-54264
1951,-53332
1952,-50867
1953,-47651
1954,-45173
1955,-44354
1956,-45974
1957,-48762
1958,-51707
1959,-54078
1960,-54556
1961,-53144
1962,-50269
1963,-46943
1964,-45189
1965,-44870
1966,-45704
1967,-48278
1968,-51574
1969,-53976
1970,-54581
1971,-53386
1972,-50891
1973,-47355
1974,-45026
1975,-44524
1976,-46051
1977,-48837
1978,-52122
1979,-54247
1980,-54739
1981,-53447
1982,-50749
1983,-47769
1984,-45238
1985,-44539
1986,-46017
1987,-48732
1988,-51955
1989,-54257
1990,-54900
1991,-53891
1992,-51118
1993,-47573
1994,-45371
1995,-44970
1996,-46092
1997,-48928
1998,-52242
1999,-54611
2000,-55358
2001,-53946
2002,-51188
2003,-47941
2004,-45594
2005,-45263
2006,-46556
2007,-48564
2008,-51819
2009,-54669
2010,-55019
2011,-53484
2012,-50898
2013,-47909
2014,-46070
2015,-45264
2016,-46403
2017,-49208
2018,-52430
2019,-55462
2020,-63880
2021,-60682
2022,-51826
2023,-48342
2024,-45951
2025,-45277
2026,-46576
2027,-49236
2028,-52445
2029,-56306
2030,-66253
2031,-63566
2032,-51772
2033,-47550
2034,-45170
2035,-43996
2036,-45172
2037,-48192
2038,-52032
2039,-56695
2040,-66643
2041,-64600
2042,-52588
2043,-47567
2044,-45181
2045,-44994
2046,-46267
2047,-48886
2048,-52129
2049,-56536
2050,-66592
2051,-65566
2052,-53466
2053,-47619
2054,-45041
2055,-44204
2056,-45250
2057,-47976
2058,-52177
2059,-55157
2060,-32492
2061,-49095
2062,-55365
2063,-47431
2064,-44977
2065,-44601
2066,-45784
2067,-48730
2068,-52007
2069,-50840
2070,-18034
2071,-40229
2072,-55656
2073,-47581
2074,-44866
2075,-44111
2076,-45632
2077,-48592
2078,-52091
2079,-48812
2080,-13026
2081,-33071
2082,-55004
2083,-47206
2084,-44694
2085,-43857
2086,-44606
2087,-47736
2088,-51981
2089,-48157
2090,-11657
2091,-32727
2092,-54719
2093,-47060
2094,-44401
2095,-43869
2096,-45259
2097,-47941
2098,-51304
2099,-47302
2100,-11714
2101,-32126
2102,-54786
2103,-46748
2104,-44265
2105,-43814
2106,-44871
2107,-47589
2108,-51605
2109,-47743
2110,-11272
2111,-31563
2112,-54829
2113,-47724
2114,-44871
2115,-43910
2116,-45321
2117,-47885
2118,-51645
2119,-45810
2120,-9984
2121,-31934
2122,-54813
2123,-47665
2124,-45100
2125,-44133
2126,-45570
2127,-48276
2128,-51911
2129,-48526
2130,-12292
2131,-34514
2132,-55541
2133,-47566
2134,-45307
2135,-44893
2136,-46296
2137,-48671
2138,-52024
2139,-53054
